run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	1	a1	0	ok	0.995733	0.995733	0.0
2	2	a0	0	ok	0.997685	0.995733	0.0
3	3	a1	0	ok	0.997183	0.995733	0.0
4	4	a2	0	ok	0.996063	0.995733	0.0
5	5	a1	0	ok	0.997811	0.995733	0.0
6	6	a2	0	ok	1.000478	0.995733	0.0
7	7	a1	0	ok	0.996236	0.995733	0.0
8	8	a2	0	ok	0.999412	0.995733	0.0
9	9	a1	0	ok	0.997153	0.995733	0.0
10	10	a2	0	ok	0.996061	0.995733	0.0
11	11	a1	0	ok	0.996378	0.995733	0.0
12	12	a0	0	ok	0.997937	0.995733	0.0
13	13	a1	0	ok	0.99714	0.995733	0.0
14	14	a2	0	ok	0.997126	0.995733	0.0
15	15	a0	0	ok	0.998947	0.995733	0.0
16	16	a2	0	ok	1.01482	0.995733	0.0
17	17	a1	0	ok	0.995713	0.995713	0.0
18	18	a2	0	ok	1.01156	0.995713	0.0
19	19	a0	0	ok	0.995319	0.995319	0.0
20	20	a2	0	ok	0.994545	0.994545	0.0
21	21	a1	0	ok	0.995306	0.994545	0.0
22	22	a2	0	ok	0.994677	0.994545	0.0
23	23	a0	0	ok	0.9971	0.994545	0.0
24	24	a2	0	ok	0.993862	0.993862	0.0
25	25	a1	0	ok	0.997152	0.993862	0.0
26	26	a0	0	ok	0.996968	0.993862	0.0
27	27	a1	0	ok	0.994317	0.993862	0.0
28	28	a2	0	ok	0.994525	0.993862	0.0
29	29	a1	0	ok	0.995981	0.993862	0.0
30	30	a0	0	ok	0.994304	0.993862	0.0
31	31	a0	0	ok	0.994062	0.993862	0.0
32	32	a2	0	ok	0.994441	0.993862	0.0
33	33	a0	0	ok	0.994527	0.993862	0.0
34	34	a0	0	ok	0.994594	0.993862	0.0
35	35	a0	0	ok	0.994169	0.993862	0.0
36	36	a0	0	ok	0.994013	0.993862	0.0
