run_index	round	agent	variant	status	val_bpb	best_so_far	cost_usd
1	0	a0	0	crash		0.996598	0.1345885
2	0	a0	1	crash		0.996598	0.1314259
3	0	a0	2	ok	1.007563	0.996598	0.1787106
4	0	a0	3	ok	1.007615	0.996598	0.2263282
5	0	a0	4	ok	1.007579	0.996598	0.36134980000000017
6	0	a0	5	ok	1.008071	0.996598	0.1404822
7	1	a0	0	crash		0.996598	0.13634310000000002
8	1	a0	1	ok	1.000906	0.996598	0.3170147
9	1	a0	2	crash		0.996598	1.1874278999999999
10	1	a0	3	ok	1.000953	0.996598	0.6654776
11	1	a0	4	crash		0.996598	0.1472661
12	1	a0	5	ok	1.000715	0.996598	0.23032960000000002
13	2	a0	0	ok	0.996259	0.996259	0.2689729999999999
14	2	a0	1	ok	0.996146	0.996146	0.1577877
15	2	a0	2	ok	0.996	0.996	0.48610999999999993
16	2	a0	3	ok	0.996471	0.996	0.24825220000000003
17	2	a0	4	ok	0.996544	0.996	0.19276070000000003
18	2	a0	5	ok	0.996402	0.996	0.28505630000000004
19	3	a0	0	ok	1.000261	0.996	0.1619197
20	3	a0	1	ok	0.996	0.996	0.19381110000000004
21	3	a0	2	ok	0.996	0.996	0.20627459999999995
22	3	a0	3	crash		0.996	0.2082659
23	3	a0	4	ok	1.000984	0.996	0.19549629999999998
24	3	a0	5	crash		0.996	0.2740439
25	4	a0	0	ok	0.998677	0.996	0.25145989999999996
26	4	a0	1	ok	0.996	0.996	0.21389049999999998
27	4	a0	2	crash		0.996	0.3950398
28	4	a0	3	ok	0.996	0.996	0.31092479999999995
29	4	a0	4	ok	0.996895	0.996	0.1870511
30	4	a0	5	ok	0.998279	0.996	0.2044819
31	5	a0	0	ok	0.996	0.996	0.15648800000000002
32	5	a0	1	ok	0.99412	0.99412	0.19381410000000002
33	5	a0	2	ok	0.996	0.99412	0.25492869999999995
34	5	a0	3	ok	0.995539	0.99412	0.3253381
35	5	a0	4	ok	0.996	0.99412	0.23261810000000008
36	5	a0	5	ok	0.996	0.99412	0.2597822
